2026-05-24 03:36:24,632 INFO [Remember]                 Book.java:560  | 9 sheets in D:\Program\Python\Piano\Remember.pdf
2026-05-24 03:36:53,873 INFO [Remember#3]            ScaleStep.java:65   | Scale{ interline(19,19,20) line(2,2,3) beam(10)}
2026-05-24 03:36:53,873 INFO [Remember#3]       StepMonitoring.java:98   | GRID
2026-05-24 03:36:53,961 INFO [Remember#3]       LinesRetriever.java:1500 | Global slope: 0.00000
2026-05-24 03:36:53,971 INFO [Remember#3]    ClustersRetriever.java:326  | Retrieved raw line clusters: 10 of sizes [5] with interline(19,19,20)
2026-05-24 03:36:54,035 INFO [Remember#3]            PeakGraph.java:310  | Systems: #1[1, 2] #2[3, 4] #3[5, 6] #4[7, 8] #5[9, 10]
2026-05-24 03:36:54,163 INFO [Remember#3]        SystemManager.java:779  | 1 part along 5 systems
2026-05-24 03:36:54,163 INFO [Remember#3]       StepMonitoring.java:98   | HEADERS
2026-05-24 03:36:54,450 INFO [Remember#3]       StepMonitoring.java:98   | STEM_SEEDS
2026-05-24 03:36:54,484 INFO [Remember#3]        StemSeedsStep.java:86   | stem(2 max:2)
2026-05-24 03:36:54,506 INFO [Remember#3]       StepMonitoring.java:98   | BEAMS
2026-05-24 03:36:57,333 INFO [Remember#3]       StepMonitoring.java:98   | LEDGERS
2026-05-24 03:36:57,438 INFO [Remember#3]       StepMonitoring.java:98   | HEADS
2026-05-24 03:37:02,967 INFO [Remember#3]        HeadSeedTally.java:235  | Scale information: HeadSeeds{NOTEHEAD_BLACK[L:-0.6,R:-0.5]}
2026-05-24 03:37:02,968 INFO [Remember#3]       StepMonitoring.java:98   | STEMS
2026-05-24 03:37:03,628 INFO [Remember#3]       StepMonitoring.java:98   | REDUCTION
2026-05-24 03:37:03,780 INFO [Remember#3]        ReductionStep.java:105  | Stems free length median value: 62 pixels, 3.3 interlines
2026-05-24 03:37:03,784 INFO [Remember#3]       StepMonitoring.java:98   | CUE_BEAMS
2026-05-24 03:37:03,785 INFO [Remember#3]         CueBeamsStep.java:81   | Step CUE_BEAMS is skipped because small heads switch is off
2026-05-24 03:37:03,785 INFO [Remember#3]       StepMonitoring.java:98   | TEXTS
2026-05-24 03:37:03,893 WARN [Remember#3]         TesseractOCR.java:341  | Language 'eng' is not supported
2026-05-24 03:37:03,894 INFO [Remember#3]              OcrUtil.java:106  | Missing support for 'eng' language(s)
2026-05-24 03:37:03,896 INFO [Remember#3]       StepMonitoring.java:98   | MEASURES
2026-05-24 03:37:03,897 INFO [Remember#3]                 Page.java:307  | 20 raw measures: [4 in system#1, 4 in system#2, 4 in system#3, 4 in system#4, 4 in system#5]
2026-05-24 03:37:03,897 INFO [Remember#3]       StepMonitoring.java:98   | CHORDS
2026-05-24 03:37:03,904 INFO [Remember#3]       StepMonitoring.java:98   | CURVES
2026-05-24 03:37:04,527 INFO [Remember#3]         SlursBuilder.java:240  | Slurs: 117
2026-05-24 03:37:04,537 INFO [Remember#3]      SegmentsBuilder.java:155  | Segments: 40
2026-05-24 03:37:04,539 INFO [Remember#3]       StepMonitoring.java:98   | SYMBOLS
2026-05-24 03:37:05,292 INFO [Remember#3]       StepMonitoring.java:98   | LINKS
2026-05-24 03:37:05,358 INFO [Remember#3]       StepMonitoring.java:98   | RHYTHMS
2026-05-24 03:37:05,359 INFO [Remember#3]           PageRhythm.java:199  | {Page#3.1} Time value reused from sheet#1
2026-05-24 03:37:05,397 INFO [Remember#3]       StepMonitoring.java:98   | PAGE
2026-05-24 03:37:05,402 INFO [Remember#3]                 Book.java:2584 | Book{Remember} storing
2026-05-24 03:37:05,454 INFO [Remember#3]                 Book.java:2565 | Stored /book.xml
2026-05-24 03:37:05,522 INFO [Remember#3]           DataHolder.java:348  | Stored /sheet#3/BINARY.png
2026-05-24 03:37:05,998 INFO [Remember#3]                Sheet.java:1583 | Stored /sheet#3/sheet#3.xml
2026-05-24 03:37:05,998 INFO [Remember#3]                 Book.java:2525 | Book stored as D:\Program\Python\Piano\Remember_Audiveris\Remember.omr
2026-05-24 03:37:06,005 INFO [Remember#3]            SheetStub.java:1655 | Sheet#3 disposed
2026-05-24 03:37:06,030 INFO [Remember#3]                 Book.java:2050 | End of Stub#3
2026-05-24 03:37:06,031 INFO [Remember#4]       StepMonitoring.java:98   | LOAD
2026-05-24 03:37:06,317 INFO [Remember#4]            SheetStub.java:1278 | Loaded image #4 2479x3508 from D:\Program\Python\Piano\Remember.pdf
2026-05-24 03:37:06,319 INFO [Remember#4]       StepMonitoring.java:98   | BINARY
2026-05-24 03:37:06,711 INFO [Remember#4]       StepMonitoring.java:98   | SCALE
2026-05-24 03:37:06,713 INFO [Remember#4]         ScaleBuilder.java:255  | Beam  guessed height: 11 -- mid of [5..18]
2026-05-24 03:37:06,714 INFO [Remember#4]         ScaleBuilder.java:271  | Beam measured height: 10 -- 0.38 of [5..18] range at 363% of needed quorum
2026-05-24 03:37:06,714 INFO [Remember#4]         ScaleBuilder.java:401  | Normalized black jitter: 5.26 %
2026-05-24 03:37:06,714 INFO [Remember#4]            ScaleStep.java:65   | Scale{ interline(19,19,20) line(2,2,3) beam(10)}
2026-05-24 03:37:06,715 INFO [Remember#4]       StepMonitoring.java:98   | GRID
2026-05-24 03:37:06,803 INFO [Remember#4]       LinesRetriever.java:1500 | Global slope: 0.00000
2026-05-24 03:37:06,813 INFO [Remember#4]    ClustersRetriever.java:326  | Retrieved raw line clusters: 10 of sizes [5] with interline(19,19,20)
